Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
Sorbabel,/ˈsor.və.vʲəl/,Zorobabel,Zorobabel,/zo.ˈro.ba.bel/
sorn,/ˈsorn/,furnus,furn,/ˈfur.nus/
spécla,/ˈʃpʲe:.glə/,*spēcula,specul,/ˈspe:.ku.la/
spiracul,/ˈʃpʲi.rə.gul/,spiraculum,spiracul,/spi.ˈra.ku.lum/
spirtál\de,/ˈʃpʲir.ta:l.de/,*spirtālis,spirtal,/spir.tˈa:.lis/
spiurt,/ˈʃpʲiwrt/,*spirtus,spirtu,/ˈspir.tus/
sráit,/ˈsra:dʲ/,strāta,strat,/stra:.ta/
srathar,/ˈsra.θər/,*stratūra,stratur,/stra.ˈtu:.ra/
srían,/ˈʃrʲiən/,frēnum,fren,/ˈfre:.num/
sroigel,/ˈsro.ɣʲəl/,*fragillum,fragill,/fra.ˈgil.lum/
stán,/ˈsta:n/,stagnum,stagn,/ˈstaŋ.num/
Stephán,/ˈʃtʲe.fa:n/,Stephānus,Stephan,/ˈste.pa.nus/
stoir,/ˈstorʲ/,*storia,stori,/ˈsto.ri.a/
stoir\ier,/ˈsto.rʲər/,?,,
súabais,/ˈsuə.vəʃ/,*sūauis,suauis,/ˈsu:.a.wis/
súg,/ˈsu:ɣ/,*sūcus,suc,/ˈsu:.kus/
superlait,/ˈsu.ber.lədʲ/,superlātīuus,superlatiu,/su.per.la:.ˈti:.wus/
súst,/ˈsu:st/,fūstis,fust,/ˈfu:s.tis/
Susthenes,/sus.tə.nʲəs/,Sōsthenēs,Sosthenes,/so:s.te.ne:s/
taball,/ˈta.vəL/,tabella,tabell,/ta.bel.la/
táball,/ˈta:.vəL/,*tābula,tabul,/ˈta:.bu.la/
tablaire,/ˈta.vlə.rʲe/,tabellārius,tabellari,/ta.bel.ˈla:.ri.us/
Tabór,/ˈta.vo:r/,Thabor,Thabor,/ˈta.bor/
talland,/ˈta.Lənd/,talentum,talent,/ta.ˈlen.tum/
tarsen\dae,/ˈtar.sən.de/,tarsēnsis,tarsens,/tar.ˈse:n.sis/
téis,/ˈtʲe:ʃ/,*thēsis,thes,/ˈte:sis/
teist,/ˈtʲeʃtʲ/,testis,test,/ˈtes.tis/
teistimin,/ˈtʲe.ʃtʲə.ɱʲənʲ/,testimōnium,testimoni,/tes.ti.ˈmo:.ni.um/
telamón\de,/ˈtʲe.lə.ɱo:n.de/,Telamōn,Telamon,/ˈte.la.mo:n/
tempul,/ˈtʲem.pul/,templum,templ,/ˈtem.plum/
teöir,/ˈtʲe.orʲ/',theoria,theori,/te.ˈo.ri.a/
Teothas [?],,?,,
Terriéin,/ˈte.Rʲe:nʲ,Tyrrhēnus,Tyrrhen,/tir.ˈre:.nus/
tert,/ˈtʲert/,tertia,terti,/ˈter.ti.a/
tíag,/ˈtʲiəɣ/,thēca,thec,/ˈte:.ka/
Tíamthe,/ˈtʲiəɱ.θe/,Timotheus,Timothe,/ti.ˈmo.te.us/
tiburt\ide,/ˈtʲi.vur.tə.ðʲe/,Tīburtus,Tiburt,/ti:.ˈbur.tus/
tím,/ˈtʲi:ɱ/,*thȳmum,thym,/ˈti:.mum/
timp\án,/ˈtʲim.pa:n/,tympanum,tympan,/ˈtim.pa.num/
Tit,/ˈtʲid/,Titus,tit,/ˈti.tus/
titul,/ˈtʲi.dul/,titulus,titul,/ˈti.tu.lus/
tob,/ˈtov/,tuba,tub,/ˈtu.ba/
tóin,/ˈto:nʲ/,*tōnus,ton,/ˈto.nus/
Tomás,/ˈto.ɱa:s/,Thomās,thomas,/ˈto.ma:s/
tot,/ˈtod/,tōtus,tot,/to:.tus/
trácht\aid,/ˈtra:x.təðʲ/,tractō,tract,/ˈtrak.to:/
treblait,/ˈtʲrʲe.vlədʲ/,*triblātiō,triblatio,/tri.ˈbla:.ti.o:/
trebunn,/ˈtʲrʲe.vuN/,tribūnus,tribun,/tri.ˈbu:.nus/
tredan,/ˈtʲrʲe.ðən/,*tridāna,tridan,/tri.ˈda:.na/
tríndóit,/ˈtʲrʲi:n.do:dʲ/,trīnitātem,trinitatem,/tri:.ni.ˈta:.tem/
triub,/ˈtʲrʲiwv/,tribus,trib,/ˈtri.bus/
Troí,/ˈtroʲ/,Trōia,Troia,/ˈtro:.ja/
troían\dae,/ˈtroj.an.de/,trōiānus,troian,/tro:.ˈja:.nus/
trop,/ˈtrob/,tropus,trop,/ˈtro.pus/
trost,/ˈtrost/,trānstrum,transtr,/tra:ns.trum/
túaiscert,/ˈtuə.ʃkʲərt/,*t-ou̯χsi-ku̯erto-,,
tuinech,/ˈtu.nʲəx/,tunica,tunic,/ˈtu.ni.ka/
tús,/ˈtu:s/,thūs,thus,/ˈtu:s/
ueronens\tae,/ˈfʲe.rə.nʲən.ste/,uērōnēnsis,ueronens,/we:.ro:.ˈne:n.sis/
Uespisían,/ˈfʲe.spə.ʃiən/,Uespasiānus,uespasian,/wes.pa.si.ˈa:.nus/
uilt,/ˈulʲtʲ/,ultima,ultim,/ˈul.ti.ma/
ulcán,/ˈul.ka:n/,Uulcānus,uulcan,/wul.ˈka:.nus/
umal,/ˈu.ɱəl/,humilis,humil,/ˈhu.mi.lis/
umaldóit,/ˈu.ɱəl.do:dʲ/,humilitātem,humilitat,/hu.mi.li.ˈta:.tem/
unáir,/ˈu.na:rʲ/,*unārius,unari,/u.ˈna:.ri.us/
ungae,/ˈuŋ.ge/,uncia,unci,/ˈuŋ.ki.a/
úsaile,/ˈu:.sə.lʲe/,auxilius,auxili,/awk.ˈsi.li.us/
