Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
ceilebr\aid,/ˈkʲe.lʲə.vrəðʲ/,celebrō,celebr,/ˈke.le.bro:/
céir,/ˈkʲe:rʲ/,cēra,cer,/ˈke:.ra/
ceist,/ˈkʲeʃtʲ/,quaestiō,quaestio,/ˈkwe:s.ti.o:/
cengal,/ˈkʲeŋ.gəl/,*cingla,cingl,/ˈkiŋ.gla/
cepp,/ˈkʲep/,cippus,cipp,/ˈkip.pus/
Cer,/ˈkʲer/,Cȳrus,cyr,/ˈki:.rus/
cerchaill,/ˈkʲer.xəLʲ/,cervīcal,cervical,/ker.ˈwi:.kal/
cert,/ˈkert/,certus,cert,/ˈker.tus/
ces,/ˈkes/,cista,cist,/ˈkis.ta/
Cham,/ˈxaɱ/,?,,
Cherupín,/ˈxʲe.ru.fʲi:n/,cherubīn,cherubin,/ˈke.ru.bi:n/
Chus,/ˈxus/,?,,
cíchanach,/ˈkʲi:.xə.nəx/,pīpiōnem,pipion,/pi:.pi.ˈo:nem/
cicht,/ˈkʲixt/,pictus,pict,/ˈpik.tus/
ciclas\tae,/ˈkʲi.glə.ste/,Cyclasias,Cyclasia,/ki.kla.si.as/
cicul,/ˈkʲi.kul/,cyclus,cycl,/ˈki.klus/
cín,/ˈkʲi:nʲ/,quīna,quin,/ˈkwi:.na/
cingciges,/ˈkʲiŋ.kʲə.ɣʲəs/,*quinquāgēsma,quinquagesm,/kwiŋ.kwa:.ˈge:s.ma/
cinteir,/ˈkʲinʲ.tʲərʲ/,centrum,centr,/ˈken.trum/
Cír,/ˈkʲi:r/,Cȳrus,cyr,/ˈki:.rus/
Cir\ine,/ˈkʲi.rʲə.nʲe/,Hierōnymus,hieronym,/hi.e.ˈro:.ni.mus/
circul,/ˈkʲir.kul/,circulus,circul,/ˈkir.ku.lus/
circunflex,/ˈkʲir.kunʲ.fʲlʲəxs/,circumflexus,circumflex,/kir.kum.ˈflek.sus/
Ciric,/ˈkʲi.rʲək/,Quiricus,Quiric,/ˈkwi.ri.kus/
cís,/ˈkʲi:s/,*cēsus,ces,/ˈke:.sus/
cland,/ˈkland/,planta,plant,/ˈplan.ta/
clas 2,/ˈklas/,classis,class,/ˈklas.sis/
clausul,/ˈklaw.sul/,clausula,clausul,/ˈklaw.su.la/
clecht,/ˈkʲlʲext/,plecta,plect,/ˈplek.ta/
cléirech,/ˈkʲlʲe:.rʲəx/,clēricus,cleric,/ˈkle:.ri.kus/
clér,/ˈkʲlʲe:r/,clērus,cler,/ˈkle:.rus/
clúm,/ˈklu:ɱ/,plūma,plum,/ˈplu:.ma/
cnáib,/ˈkna:vʲ/,cannabis,cannab,/ˈkan.na.bis/
coäis,/ˈkaus/,causa,caus,/ˈkaw.sa/
cobais,/ˈko.vəʃ/,cōnfessiō,confessio,/ko:n.ˈfes.si.o:/
cochall,/ˈko.xəL/,cucullus,cucull,/ku.ˈkul.lus/
colcaid,/ˈkol.kəðʲ/,culcita,culcit,/ˈkul.ki.ta/
colche\de,/ˈkol.xə.ðʲe/,Colchidem,Colchid,/ˈkol.ki.dem/
colchiae,/ˈkol.xi.e/,Colchis,Colchi,/ˈkol.kis/
collandoracht,/ˈko.Lən.də.rəxt/,Kalendae,kalend,/ka.ˈlen.de:/
colt,/ˈkolt/,pulta,pult,/ˈpul.ta/
coltar,/ˈkol.tər/,cultrum,cultr,/ˈkul.trum/
colum,/ˈko.luɱ/,columba,columb,/ko.ˈlum.ba/
comman,/ˈko.mən/,commūniō,communio,/kom.ˈmu:.ni.o:/
comparait,/ˈkom.pə.rədʲ/,comparātīuus,comparatiu,/kom.pa.ra:.ˈti:.wus/
comrar,/ˈko.ɱrər/,cumera,cumer,/ˈku.me.ra/
con·secra,/kon.ˈʃe.kra/,cōnsecrō,consecr,/ko:n.se.kro:/
connall,/ˈko.NəL/,cannula,cannul,/ˈkan.nu.la/
consal,/ˈkon.səl/,cōnsul,consul,/ˈko:n.sul/
consan,/ˈkon.sən/,cōnsonus,conson,/ˈko:n.so.nus/
Constantinopol,/ˈkon.stənʲ.tʲə.nə.bəl/,Cōnstantīnopolis,constantinopol,/ko:ns.tan.ti:.ˈno.po.lis/
contan,/ˈkon.tən/,contentiō,contentio,/kon.ˈten.ti.o:/
contracht,/ˈkon.trəxt/,contractus,contract,/kon.ˈtrak.tus/
corcur,/ˈkor.kur/,purpura,purpur,/ˈpur.pu.ra/
Core,/ˈko.re/,?,,
corgus,/ˈkor.ɣas/,*quarāgēsma,quaragesm,/kwa.ra:.ˈge:s.ma/
Corint,/ˈko.rʲənt/,Corinthus,corinth,/ko.ˈrin.tus/
Cornil,/ˈkor.nəlʲ/,Cornēlius,Corneli,/kor.ˈne:.li.us/
coronn,/ˈko.rəN/,corōna,coron,/ko.ˈro:.na/
corp,/ˈkorp/,corpus,corp,/ˈkor.pus/
cosmaid,/ˈkos.ɱəðʲ/,cōnsummātiō,consummatio,/ko:n.sum.ˈma:.ti.o:/
Cothrige,/ˈko.θrə.ɣʲe/,Patricius,patrici,/pa.ˈtri.ki.us/
crapscuil,/ˈkrab.skulʲ/,crepusculum,crepuscul,/kre.ˈpus.ku.lum/
créisen,/ˈkʲrʲe:.ʃən/,christiānus,christian,/kris.ti.ˈa:.nus/
creithir,/ˈkʲrʲe.θʲərʲ/,*creterra,creterr,/kre.ˈter.ra/
Críst,/ˈkʲrist/,Christus,christ,/ˈkris.tus/
croch,/ˈkrox/,crucem,cruc,/ˈkru.kem/
cróch,/ˈkro:x/,*crōcus,croc,/ˈkro:.kus/
cros,/ˈkros/,crux,crux,/ˈkruks/
crothal,/ˈkro.θəl/,crotalum,crotal,/ˈkro.ta.lum/
crothla,/ˈkro.θlə/,crotalia,crotali,/kro.ˈta.li.a/
cruimther,/ˈkruɱʲ.θʲər/,*premiter,premiter,/ˈpre.mi.ter/
cúaird,/ˈku:ərdʲ/,cohortem,cohort,/ko.ˈhor.tem/
cúan,/ˈkuən/,pugnus,pugn,/ˈpuŋ.nus/
cúb\aid,/ˈku:.vəðʲ/,cubō,cub,/ˈku.bō/
cucann,/ˈku.gəN/,*cocīna,cocin,/ko.ˈki:.na/
cuchtar,/ˈkux.tər/,coctūra,coctur,/kok.ˈtu:.ra/
cuibiter,/ˈku.vʲə.dʲər/,cōnfiteor,confiteor,/ko:n.ˈfi.te.or/
cuilche,/ˈkulʲ.xʲe/,*pelicius,pelici,/pe.ˈli.ki.a/
cuirt,/ˈkurʲtʲ/,curtis,curt,/ˈkur.tis/
cuithe,/ˈku.θʲe/,puteus,pute,/ˈpu.te.us/
cúrsag\aid,/ˈku:r.sə.ɣəðʲ/,curās agō,curas ag,/ˈku.ra:s/+/ˈa.go:/
curtín\ad,/ˈkur.tʲi:.nəð/,curtīna,curtin,/kur.ˈti:.na/
cyb,/ˈkuv/,cubus,cub,/ˈku.bus/
dactil,/ˈdax.təlʲ/,dactylus,dactyl,/ˈdak.ti.lus/
dammain,/ˈda.mənʲ/,damnātiō,damnatio,/dam.ˈna:.ti.o:/
damn\ad,/ˈdaɱ.nəð/,damnō,damn,/ˈdam.no:/
Danïél,/ˈda.nʲi.e:l/,Daniēl,daniel,/ˈda.ni.e:l/
dardán\de,/ˈdar.da:n.de/,Dardānus,Dardan,/dar.ˈda:.nus/
dasian,/ˈda.ʃi.an/,?,,
Dauid,/ˈdaw.iðʲ/,Dāuīd,Dauid,/ˈda:.wi:d/
deccaid,/ˈdʲe.kəðʲ/,decādem,decad,/ˈde.ˈka:.dem/
dechon,/ˈdʲe.xən/,diāconus,diacon,/di.ˈa:.ko.nus/
dechtaid,/ˈdʲex.təðʲ/,dictō,dict,/dik.to:/
deiprecóit,/ˈdʲe.bʲrʲə.go:dʲ/,dēprecātiō,deprecatio,/de:.pre.ˈka:.ti.o:/
demon,/ˈdʲe.ɱən/,daemon,daemon,/ˈde:.mon/
derbens\dae,/ˈdʲer.bən.ste/,derbēnsis,derbens,/der.ˈbe:n.sis/
descipul,/ˈdʲe.ʃkʲə.bul/',discipulus,discipul,/dis.ˈki.pu.lus/
deutornim,/ˈdʲew.tər.nəɱʲ/,deuteronomium,deuteronomi,/dew.te.ro.ˈno.mi.um/
díabul,/ˈdʲiə.vul/',diabolos,diabol,/di.ˈa.bo.lus/
díaithir,/ˈdʲiə.θʲərʲ/',diameter,diameter,/di.ˈa.me.ter/
dialectaicc,/ˈdʲiə.lʲex.təkʲ/',dialectica,dialectic,/di.a.ˈlek.ti.ka/
dictatóir,/ˈdix.tə.do:rʲ/,dictātōr,dictator,/dik.ˈta:.to:r/
digaimm,/ˈdʲi.ɣəmʲ/',digamma,digamm,/di.ˈgam.ma/
dírnae,/ˈdʲi:r.ne/,dīnārius,dinari,/di:.ˈna:.ri.us/
Doeg,/ˈdo.eg/,Doeg,Doeg,/ˈdo.eg/
domnach,/ˈdoɱ.nəx/,*domnicus,domnic,/dom.ˈni.kus/
dómóir,/ˈdo:.ɱo:rʲ/,duumuir,duumuir,/ˈdu.um.wir/
