'kan.di.d,/ˈkan.də.ðəs/,candidus,candadas
'kan.na.b,/ˈkna:vʲ/,cannabis,cnáib
'kan.nu.l,/ˈko.NəL/,cannula,connall
'ka.no:n,/ˈka.no:nʲ/,canōn,canóin
ka.bil.'la:.ti.o:,/ˈka.blədʲ/,capillātiō,caplait
ka.'bi.tu.l,/ˈkabʲ.dʲəl/,capitulum,caiptel
'kap.tor,/ˈkax.tər/,captor,cachtor
kar.'buŋ.ku.l,/ˈkar.buŋ.kəlʲ/,carbunculus,carbuncail
kar.'buŋ.ku.l,/ˈkar.ɱə.gəl/,carbunculus,carmocol
'kar.ker,/ˈkar.kər/,carcer,carcar
kar.'ta:.t,/ˈkar.to:dʲ/,*cartātem,cartóit
'ka:.se.,/ˈka:.ʃe/,cāseus,cáise
kas.'til.l,/ˈka.ʃəl/,*castillum,caisel
'ka.su.l,/ˈka.səl.de/,casula,casal\dae
ka.te:.'ku:.me.n,/ˈkaθ.xəɱʲ.nʲəð/',catēchūmenus,cathchoimn\id
'ka.te.dr,/ˈka.θaʲrʲ/,cathedra,cathaír
ka.'to.li.k,/ˈka.θləx/,catholicus,cathlach
'ka.tu.l,/ˈka.tu.la:n/,Catulus,Catulán
'kaw.s,/ˈkaus/,causa,coäis
'ke.dr,/ˈkʲe.dərʲ/,cedrus,cedair
'ke.le.br,/ˈkʲe.lʲə.vrəðʲ/,celebrō,ceilebr\aid
'ken.tr,/ˈkʲinʲ.tʲərʲ/,centrum,cinteir
'ke:.r,/ˈkʲe:rʲ/,cēra,céir
'ker.t,/ˈkert/,certus,cert
ker.'wi:.kal,/ˈkʲer.xəLʲ/,cervīcal,cerchaill
'ke:.s,/ˈkʲi:s/,*cēsus,cís
kal.'de:.,/ˈkal.de.a/,Chaldaea,Calldea
kal.'de:.,/ˈkald/,Chaldaeus,Cald
'ka.na.a:n,/ˈka.Na:n/,Chanaān,Cannán
'ka.na.a:n,/ˈka.Nan.de/,Chanaān,cannan\dae
ka:.'rak.ter,/ˈka:.rəx.tər/,*chāracter,cárachtar
