Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,Source
mo.'ne:.t,/ˈmo.nəð/,monēta,monad,McManus/Other
mo:.'ra:.lis,/ˈmo.ra:.lus/,*morālis,morálus,Ml.
mor.ˈta:.li.ta,/ˈmor.tləθʲ/,mortālitas,mortlaith,McManus/Other
'mo.di.,/ˈmu.ðʲe/,modius,muide,McManus/Other
mo.'li:.n,/ˈmu.lʲəN/,molīna,muilenn,McManus/Other
mo.nis.'te:.ri.,/ˈmunʲ.tʲər/,monistērium,muinter,"Wb.,Blathmac,Ml."
'mu:.l,/ˈmu:l/,mūlus,múl,Sg.
'mu:.r,/ˈmu:r/,mūrus,múr,"Blathmac,Ml.,Sg.,MG"
'mu:.t,/ˈmu:t/,mūtus,mút,Sg.
ˈnew.tr,/ˈnʲew.dur/,neutrum,neutur,Ml.
ˈni.hil,/ˈnʲi.e.ləs/',nihil,nihel\as,Sg.
ˈno:.n,/ˈno:n/,nōna,nón,MG
'no.t,/ˈnod/,nota,not,Sg.
'no.t,/ˈno.θəθ/,nothus,nothath,Sg.
na.ta:.'li.ki.,/ˈno.dləgʲ/,*natālicius,notlaic,McManus/Other
'o.be.l,/ˈo.vʲəl/,obelus,obel,Ml.
ob.'la:.t,/ˈov.le/,oblāta,oblae,MG
ak.'sil.l,/ˈox.səl/,axilla,ochsal,MG
ok.'tem.ber,/ˈox.təmʲ.bʲərʲ/,*octember,Ochtimbir,MG
of.fe.'ren.d,/ˈo.fʲrʲənd/,offerendum,oifrend,McManus/Other
o.'le.,/ˈo.le/,oleum,olae,"Wb.,Ml.,Sg."
'uŋ.g,/ˈoŋ.gəðʲ/,ungō,ong\aid,"Ml.,MG"
'ho.no:.r,/ˈo.no:rʲ/,honōrem,onóir,Blathmac
'o.be.r,/ˈo.bər/,opera,opar,Wb.
op.ta:.'ti:.w,/ˈob.tədʲ/,optātīuus,optait,Sg.
'aw.r,/ˈo:r/,aurum,ór 1,"Blathmac,Ml."
ho.ra.ti.'a:.n,/ˈo.rə.tʲən.de/,horatiānus,oratian\dae,Ml.
'o:r.do:,/ˈord/,ōrdō,ord 1,"Wb.,Blathmac,Ml.,Sg.,MG"
'or.ga.n,/ˈor.ga:n/,organum,orgán,Ml.
o.ri.'en.t,/ˈo.rʲi.ent,orientem,Orient,MG
o.'ra:.ti.o:,/ˈo.ro:dʲ/,*orātiō,oróit,MG
o.'ra:.ti.o:,/ˈor.θə/,*orātiō,ortha,McManus/Other
pa.'ru.ki.,/ˈparʲ.xʲe/,paruchia,pairche,Wb.
ˈpar.t,/ˈparʲtʲ/,partem,pairt,Blathmac
'pa.ter,/ˈpa.dʲər/,pater,paiter,McManus/Other
pa.le:s.'ti:.na,/ˈpa.lə.ʃtʲə.na/,Palaestīna,Palastina,Ml.
pal.la.ˈki:.n,/ˈpal.nək.ðe/,pallacīnus,palnac\de,Sg.
'pan,/ˈpan/,Pan,Pan,Sg.
pa.'ra.bo.l,/ˈpar.vəlʲ/,parabola,parbail,"Blathmac,McManus/Other"
pa.ra.'di:.s,/ˈpar.ðəs/,paradīsus,Pardas,MG
'pas.ser,/ˈpa.ʃər/,passer,passer,Sg.
pa:.'tri.ki.,/ˈpa.drəgʲ/,*Pātricius,Pátric,McManus/Other
pek.'ka:.t,/ˈpʲ.ekəθ/,peccātum,peccath,"Wb.,Blathmac,Ml.,MG"
pe.'le.,/ˈpʲe:.lʲəx.ðe/,Peleus,pél\ech\dae,Sg.
ˈpe:.n,/ˈpʲe:n/,pēna,pén,"Wb.,Ml.,MG"
pe:.'nul.ti.m,/ˈpʲe.nʲulʲtʲ/,pēnultima,peneuilt,Sg.
ˈpen.na,/ˈpʲeN/,penna,penn,"Wb.,Ml."
pen.'ten.ti.,/ˈpʲe.Nənʲdʲ/,*pententia,pennaind,McManus/Other
pe.ni.ˈt,/ˈpʲe.Nʲədʲ/,*penitēre,pennit,Wb.
'per.s,/ˈpʲers/,Persa,Pers,Ml.
per.'so:.n,/ˈpʲer.sən/,persōna,persan,"Wb.,Blathmac,Ml.,Sg.,MG"
'pe.tr,/ˈpʲe.dər/,Petrus,Petar,"Wb.,Blathmac,Ml.,MG"
fi.li.pi.a.'ne:n.s,/ˈfʲi.lʲə.pʲən.ste/,philipianēnsis,Philipians\tae,Wb.
fi.'le:.mo:n,/fʲi.lə.ɱo:nʲ/,Philēmōn,Philomóin,Wb.
fir.ˈra.di.,/ˈfʲir.ðe/,Phirradios,phir\de,Sg.
'fil.li.b,/ˈpʲi.lʲəb/,Phillipus,Pilip,Blathmac
ˈpi:.n,/ˈpʲi:n/,pīnus,pín,MG
'pi.s,/ˈpʲiʃ/,pisum,pis,Sg.
'pla:.g,/ˈpla:ɣ/,plāga,plág,"Blathmac,Ml."
pla.'te:.,/ˈpladʲ/,platēa,plait,Ml.
pa:.k,/ˈpo:g/,pācem,póc,Sg.
pom.'pej,/ˈpomʲpʲ/,Pompeius,Poimp,Sg.
'paw.l,/ˈpo:l/,Paulus,Pól,"Wb.,Blathmac"
pu.'gla:.ri.,/ˈpo:.lə.rʲe/,*puglāria,pól\ire,McManus/Other
'pu:ŋk.t,/ˈpoŋk/,pūnctum,ponc,Sg.
'pon.d,/ˈpond/,pondus,pond,Sg.
ˈpon.ti.pi.ˈla:.ti.,/ˈponʲtʲ.fʲə.lət/,Pontius Pilātius,Pontfelat,Ml.
'po.bu.l,/ˈpo:.bəl/,pōpulus,pópol,MG
'po:.bu.l,/ˈpo.bəl/,populus,popul,"Wb.,Blathmac,Ml.,MG"
'por.t,/ˈport/,portus,port,"Wb.,Blathmac,Ml.,MG"
po.si.'ti:.w,/ˈpo.sədʲ/,positīuus,posit,Sg.
pre.'kep.t,/ˈpʲrʲe.gʲəpt/,*preceptum,preicept,"Wb.,Ml."
pris.ki.'a:.n,/ˈpʲrʲes.kʲi.e:n/,Prisciānus,Prescien,Sg.
ˈpre.do:,/ˈpʲrʲe.dəðʲ/,*predō,pret\aid,Ml.
pre.'di:.k,/ˈpʲrʲið.xəðʲ/,*predīcō,pridch\aid,"Wb.,Blathmac,Ml.,MG"
'pri:.m,/ˈpʲrʲi:ɱ/,prīmus,prím,"Wb.,Blathmac,Ml.,MG"
pri.'mi.ti.,/ˈpʲri:.ɱədʲ/,primitiae,prímit,"Wb.,Ml."
pris.'kil.l,/ˈpʲrʲis.kəLʲ/,Priscilla,Priscill,Wb.
ˈpran.di.,/ˈprondʲ/,prandium,proind,Wb.
'pro.b,/ˈpro.ɱəðʲ/,probō,prom\aid,Wb.
pro.'me:.te.,/ˈpro.ɱə.θʲə.ðʲe/,Promētheus,promith\ide,Sg.
'pro.bri.,/ˈpro.bʲərʲ/,proprium,propir,"Sg.,MG"
ˈpros.pe.r,/ˈpro.spərʲ/,Prosperus,Prospir,MG
ˈpsi.len,/'ʃi.lʲən/,psilen,psilen,Sg.
'pu:ŋk.t,/ˈpuŋkt/,pūnctum,punct,MG
pa:.'bi.li.o:,/ˈpu.bəL/,pāpiliō,pupall,Sg.
ˈra:.m,/ˈra:ɱʲ/,rāmus,ráim,MG
re.'li.kwi.,/ˈre.lʲəgʲ/,reliquiae,reilic,Wb.
're:.a.tu:,/ˈrʲe:.du/,*rēatūs,rétu,McManus/Other
're:.gu.l,/ˈrʲiə.ɣəl/,rēgula,ríagol,"Wb.,Sg.,MG"
'rub.r,/ˈro.vur/,rubrum,robur,McManus/Other
'ro:.mu.l,/ˈro.ɱəlʲ/,Rōmulus,romuil,Sg.
'ro:.s,/ˈro:s/,*rōsa,rós,Sg.
'ro:.m,/ˈro:ɱ/,Rōma,Rúam,Sg.
'rus.k,/ˈru:sk/,ruscum,rúsc,"Sg.,MG"
'sab.ba.t,/ˈsa.bədʲ/,sabbatum,sabbait,"Wb.,Ml."
sa.'bi:.n,/ˈsa.vʲən.de/,Sabīnī,sabin\dae,Sg.
sa.kər.'fi.ki.,/ˈsa.kər.vəkʲ/,*sacrficium,sacarbaicc,"Wb.,Blathmac"
sa.'ker.d,/ˈsa.gərt/,sacerdōs,sacart,"Wb.,Blathmac,Ml.,MG"
sa.'gel.l,/ˈsa.xəLʲ/,sagellum,sachaill [?],MG
sa.'kel.l,/ˈsa.xəL/,Sacellus,Sachall,McManus/Other
ˈsaj.ku.l,/ˈsaj.ɣul/,saeculum,sáegul,"Wb.,Ml."
sa.'li:.w,/ˈsa.lʲe/,salīua,saile,"Blathmac,Ml.,MG"
psal.'len.d,/ˈsa.Lənd/,psallendum,salland,McManus/Other
'psal.m,/ˈsalm/,psalmus,salm,"Wb.,Ml."
'sal.t,/ˈsalt/,saltus,salt,MG
psal.'te:.ri.,/ˈsal.tərʲ/,psaltērium,saltair,Ml.
saŋk.ˈta:.ri.,/ˈsaŋk.ta:rʲ/,*sanctārium,sanctáir,Sg.
'sap.fir,/ˈsa.fʲər/,sapphir,saphir,Ml.
sa.'tur.n,/ˈsa.θərn/,*Saturnus,satharn,"Blathmac,Ml."
sa.ˈtur.n,/ˈsa.durn/,*Saturnus,Saturn,MG
'pi.ber,/ˈʃkʲi.vər/,*piber,scibar,Sg.
'ski:.pi.o:,/ˈʃkʲip/,Scīpiō,Scip,Sg.
ˈskrip.tr,/ˈʃkʲrʲeb.tər/,*scriptra,screptar,McManus/Other
'skri.bl,/ˈʃkʲrʲe.bul/,*scriplus,screpul,McManus/Other
'skri:.b,/ˈʃkʲrʲi:.vəðʲ/,scrībō,scríb\aid,"Wb.,Ml.,Sg.,MG"
'skri:.ni,/ˈʃkʲrʲi:n/,scrīnium,scrín,Sg.
skri:p.'tu:.r,/ˈʃkʲrʲip.turʲ/,*scriptūra,scriptuir,Ml.
'skru:.t,/ˈskru:.dəðʲ/,scrūtor,scrút\aid,"Wb.,Blathmac,Ml."
se.'ka:.le,/ˈʃe.gəl/,secāle,secal,McManus/Other
se.kun.'di:.n,/ˈʃex.nəL/,Secundīnus,Sechnall,McManus/Other
ˈfik.t,/ˈʃext/,fictus,secht,McManus/Other
sep.ti.'ma:.n,/ˈʃext.ɱən/,septimāna,sechtmon,MG
se.ˈkun.dˈab.ba,/ˈʃek.nəb/,secundus abbas,secndap,Wb.
se.'kun.di.,/ˈʃek.ne/,Secundius,Secnde,McManus/Other
'fa.b,/ˈʃevʲ/,faba,seib,McManus/Other
fe.'nes.tr,/ˈʃe.nʲə.ʃtʲər/,fenestra,seinester,Ml.
'fe:.ri.,/ˈʃe:.rʲe/,fēria,séire,McManus/Other
'se:n.s,/ˈʃe:ʃ/,sēnsus,séis,"Wb.,Ml."
ˈsig.n,/ˈʃe:n/,signum,sén 1,"Sg.,MG"
'se.na.tor,/ˈʃe.nə.do:rʲ/,senator,sen\atóir,Sg.
'si.no.d,/ˈʃe.nəð/,synodus,senad 1,"Wb.,Blathmac"
sep.tem,/ˈʃep.tʲi.e:n/,septem,Septién,Ml.
'fer.ku.l,/ˈʃer.kəl/,ferculum,sercol,Sg.
'ser.gi.,/ˈʃe.rʲə.ga:n/,Sergius,Seric\án,Sg.
ses.'ta:.ri.,/ˈʃe.sre/,*sestārius,sesrae,McManus/Other
'ses.t,/ˈʃest/,*sesta,sest,MG
ˈse:n.s,/ˈʃiəns/,sēnsus,síans,"Wb.,Ml.,Sg.,MG"
'fi:.bu.l,/ˈʃi:.vəl/,fībula,síbal,McManus/Other
si.'ki.li.,/ˈʃi.kʲəl.de/,Sicilia,Sicel\de,MG
si.'gil.l,/ˈʃi.ɣʲlʲə.θʲe/,sigilla,sigl\ithe,Wb.
'sil.la.b,/ˈʃi.Ləv/,syllaba,sillab,Sg.
'sim.ma.k,/ˈʃi.mək/,Symmachus,Simmach,Ml.
ˈsi:.tu.l,/ˈʃi:.θəl/,*sītula,síthal,MG
fle:k.t,/ˈʃlʲe:x.təðʲ/,flēctō,slécht\aid,McManus/Other
'flo:.k,/ˈslo:x/,*flōcus,slóch,McManus/Other
'so:.kra.t,/ˈso.gra:dʲ/,Sōcratēs,Socráit,Sg.
ˈso.l,/ˈsol/,solum,sol,Ml.
sol.ˈlem.ne,/ˈso.Lu.mun/,sollemne,sollummun,"Wb.,Ml.,MG"
'so.n,/ˈson/,sonus,son 1,"Wb.,Blathmac,Ml.,Sg.,MG"
'stup.p,/ˈsop/,stuppa,sopp,McManus/Other
ˈfur.n,/ˈsorn/,furnus,sorn,Ml.
'spir.tu,/ˈʃpʲiwrt/,*spirtus,spiurt,"Wb.,Blathmac,Ml.,MG"
stra:.t,/ˈsra:dʲ/,strāta,sráit,McManus/Other
stra.'tu:.r,/ˈsra.θər/,*stratūra,srathar,Sg.
'fre:.n,/ˈʃrʲiən/,frēnum,srían,McManus/Other
fra.'gil.l,/ˈsro.ɣʲəl/,*fragillum,sroigel,"Wb.,Blathmac,Sg."
'stag.n,/ˈsta:n/,stagnum,stán,Sg.
'ste.fa:.n,/ˈʃtʲe.fa:n/,Stephānus,Stephán,Blathmac
ˈsto.ri.,/ˈstorʲ/,*storia,stoir,"Wb.,Ml.,MG"
'su:.k,/ˈsu:ɣ/,*sūcus,súg,Ml.
su.ber.la:.'ti:.w,/ˈsu.ber.lədʲ/,superlātīuus,superlait,Sg.
'fu:s.t,/ˈsu:st/,fūstis,súst,McManus/Other
so:s.te.ne:s,/sus.tə.nʲəs/,Sōsthenēs,Susthenes,Wb.
ta.ˈlen.t,/ˈta.Lənd/,talentum,talland,Wb.
tar.'se:n.s,/ˈtar.sən.de/,tarsēnsis,tarsen\dae,MG
'tes.t,/ˈtʲeʃtʲ/,testis,teist,Wb.
tes.ti.'mo:.ni.,/ˈtʲe.ʃtʲə.ɱʲənʲ/,testimōnium,teistimin,"Wb.,Ml.,MG"
'te.la.mo:n,/ˈtʲe.lə.ɱo:n.de/,Telamōn,telamón\de,Sg.
ˈtem.pl,/ˈtʲem.pul/,templum,tempul,"Wb.,Blathmac,Ml.,MG"
te.'o.ri.,/ˈtʲe.orʲ/',theoria,teöir,Wb.
tir.'re:.n,/ˈte.Rʲe:nʲ,Tyrrhēnus,Terriéin,Ml.
ˈter.ti.,/ˈtʲert/,tertia,tert,MG
'te:.k,/ˈtʲiəɣ/,thēca,tíag,MG
ti.'mo.te.,/ˈtʲiəɱ.θe/,Timotheus,Tíamthe,Wb.
ti:.ˈbur.t,/ˈtʲi.vur.tə.ðʲe/,Tīburtus,tiburt\ide,Sg.
'ti:.m,/ˈtʲi:ɱ/,*thȳmum,tím,Sg.
'ti.t,/ˈtʲid/,Titus,Tit,"Wb.,Blathmac"
'ti.tu.l,/ˈtʲi.dəl/,titulus,titul,"Wb.,Ml.,Sg."
'tu.b,/ˈtov/,tuba,tob,"Wb.,Ml."
'to.ma:s,/ˈto.ɱa:s/,Thomās,Tomás,Blathmac
to:.t,/ˈtod/,tōtus,tot,"Sg.,MG"
'trak.t,/ˈtra:x.təðʲ/,tractō,trácht\aid,Ml.
tri.'bla:.ti.o:,/ˈtʲrʲe.vlədʲ/,*triblātiō,treblait,McManus/Other
tri.'bu:.n,/ˈtʲrʲe.vəN/,tribūnus,trebunn,Sg.
tri.'da:.n,/ˈtʲrʲe.ðən/,*tridāna,tredan,McManus/Other
tri:.n.'da:t,/ˈtʲrʲi:n.do:dʲ/,trīndātem,tríndóit,Ml.
'tri.b,/ˈtʲrʲiwv/,tribus,triub,"Ml.,MG"
'tro:.j,/ˈtroj/,Trōia,Troí,Sg.
'tro.b,/ˈtrob/,tropus,trop,Ml.
ˈtra:ns.tr,/ˈtrost/,trānstrum,trost,Sg.
ˈtu.ni.k,/ˈtu.nʲəx/,tunica,tuinech,"Ml.,MG"
ˈtu:s,/ˈtu:s/,thūs,tús,"Blathmac,Sg."
'ho:.r,/ˈo:r/,hōra,úar,"Wb.,Blathmac,Ml.,Sg.,MG"
we:.ro:.ˈne:n.s,/ˈfʲe.rə.nʲən.ste/,uērōnēnsis,ueronens\tae,Sg.
wes.pa.si.ˈa:.n,/ˈfʲe.spə.ʃiən/,Uespasiānus,Uespisían,Blathmac
ˈul.ti.m,/ˈulʲtʲ/,ultima,uilt,Sg.
wul.ˈka:.n,/ˈul.ka:n/,Uulcānus,ulcán,Sg.
ˈhu.mi.l,/ˈu.ɱəl/,humilis,umal,Wb.
u.ˈna:.ri.,/ˈu.na:rʲ/,*unārius,unáir,Sg.
ˈuŋ.ki.,/ˈuŋ.ge/,uncia,ungae,"Sg.,MG"
