Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,Source
kre.'ter.r,/ˈkʲrʲe.θʲərʲ/,*creterra,creithir,McManus/Other
'kris.t,/ˈkʲrist/,Christus,Críst,"Wb.,Blathmac,Ml.,MG"
'kru.k,/ˈkrox/,crucem,croch,"Wb.,Blathmac,Ml."
'kro:.k,/ˈkro:x/,*crōcus,cróch,McManus/Other
'kruks,/ˈkros/,crux,cros,"Blathmac,Ml."
'kro.ta.l,/ˈkro.θəl/,crotalum,crothal,McManus/Other
'pre.mi.ter,/ˈkruɱʲ.θʲər/,*premiter,cruimther,McManus/Other
'ko:r.t,/ˈku:ərdʲ/,cōrtem,cúaird,"Blathmac,Ml."
'pug.n,/ˈkuən/,pugnus,cúan,McManus/Other
ko.'ki:.n,/ˈku.gəN/,*cocīna,cucann,McManus/Other
kok.'tu:.r,/ˈkux.tər/,coctūra,cuchtar,Sg.
pe.'li.k,/ˈkulʲ.xʲe/,*pelicius,cuilche,McManus/Other
ku.'li:.n,/ˈku.lʲəN/,culīna,cuilenn [?],McManus/Other
'kur.t,/ˈkurʲtʲ/,curtis,cuirt,Sg.
'pu.te.,/ˈku.θʲe/,puteus,cuithe,"Ml.,Sg."
'ku.ra:s.'a.go:,/ˈku:r.sə.ɣəðʲ/,curās agō,cúrsag\aid,"Wb.,Ml."
'ku.b,/ˈkuv/,cubus,cyb,MG
'dak.ti.l,/ˈdak.təlʲ/,dactylus,dactil,Sg.
dam.n,/ˈda.mənʲ/,damnum,dammain,Wb.
dar.'da:.n,/ˈdar.da:n.de/,Dardānus,dardán\de,Sg.
'da.si.an,/'daʃiən/,dasian,dasian,Sg.
de.'ka:.d,/ˈdʲe.kəðʲ/,decādem,deccaid,MG
di.'a:.ko.n,/ˈdʲe.xən/,diāconus,dechon,"Wb.,Ml."
dik.t,/ˈdʲex.təðʲ/,dictō,decht\aid,McManus/Other
de:.bre.'ka:.ti.o:,/ˈdʲe.bʲrʲə.go:dʲ/,dēprecātiō,deiprecóit,McManus/Other
'de.mon,/ˈdʲe.ɱən/,*demon,demon,"Wb.,Ml.,MG"
der.'be:n.s,/ˈdʲer.bən.ste/,derbēnsis,derbens\dae,MG
dis.'ki.bu.l,/ˈdʲe.ʃkʲə.bul/',discipulus,descipul,"Wb.,Ml."
dew.te.ro.'no.mi.,/ˈdʲew.tər.nəmʲ/,deuteronomium,deutornim,Ml.
di.'a.bo.l,/ˈdʲiə.vəl/',diabolos,díabul,"Wb.,Blathmac,MG"
di.a.'lek.ti.k,/ˈdʲiə.lʲex.təkʲ/',dialectica,dialectaicc,"Wb.,MG"
dik.'ta:.to:r,/ˈdik.tə.do:rʲ/,dictātōr,dicta\tóir,Sg.
di.'gam.m,/ˈdʲi.ɣəmʲ/',digamma,digaimm,Sg.
de:.'na:.ri.,/ˈdʲi:r.ne/,dīnārius,dírnae,MG
dom.'ni.k,/ˈdoɱ.nəx/,*domnicus,domnach,"Wb.,Ml."
'du.um.wir,/ˈdo:.ɱo:rʲ/,duumuir,dómóir,MG
'du.bl,/ˈdu.bulʲ/,duplus,dupuil,MG
he.'bre:.,/ˈe.vre/,Hebraeus,Ebrae 1,Ml.
e:.kwi.'nok.t,/ˈe.gʲə.nəxt/',aequinoctium,ecenocht,"Ml.,MG"
e.ˈkle:.si.,/ˈe.gləʃ/,eclēsia,eclais,"Wb.,Ml.,MG"
e:.'gip.t,/ˈe:.ɣʲəpt/,Aegyptus,Éigept,"Blathmac,Ml.,MG"
e.'bis.tu.l,/ˈe.bʲə.ʃtʲəlʲ/,epistula,eipistil,"Wb.,Ml.,MG"
'e.le.fan.t,/ˈe.lʲə.fa:nʲtʲ/,elephantem,elifáint,MG
em.bo.'lis.m,/ˈemʲ.bʲlʲə.ʃəm/,embolismus,embleisim,MG
e.mi.li.'a:.n,/ˈe.mʲəlʲe:nde/,aemil-iān-us,emil\én\dae,Sg.
in.'no.ku.,/ˈe.Nəg/,innocuus,ennac,McManus/Other
'e.o.l,/ˈewl.de/,Aeolus,eol\dae,Sg.
e.'bak.t,/ˈe.bəxt/,epactae,epacht,MG
'e.pe.s,/ˈe.fʲəs/,Ephesus,Ephes,Wb.
'ebs.ko.b,/ˈeb.skəb/,*epscopus,epscop,"Wb.,Blathmac,Ml.,MG"
he:.ˈro:.i.k,/ˈe.rʲe:x.ðe/,hērōicus,eréc\dae,Sg.
