cyr,/'ki:.rus/,'ki:.r
cyr,/'ki:.rus/,'ki:.r
dactyl,/'dak.ti.lus/,'dak.ti.l
daemon,/'de:.mon/,'de:.mon
damn,/'dam.no:/,'dam.n
damnatio,/dam.'na:.ti.o:/,dam.'na:.ti.o:
daniel,/'da.ni.e:l/,'da.ni.e:l
Dardan,/dar.'da:.nus/,dar.'da:.n
decad,/de.'ka:.dem/,de.'ka:.d
denari,/de:.'na:.ri.us/,de:.'na:.ri
deprecatio,/de:.pre.'ka:.ti.o:/,de:.pre.'ka:.ti.o:
derbens,/der.'be:n.sis/,der.'be:n.s
deuteronomi,/dew.te.ro.'no.mi.um/,dew.te.ro.'no.mi
diabol,/di.'a.bo.lus/,di.'a.bo.l
diacon,/di.'a:.ko.nus/,di.'a:.ko.n
dialectic,/di.a.'lek.ti.ka/,di.a.'lek.ti.k
diameter,/di.'a.me.ter/,di.'a.me.ter
dict,/dik.to:/,dik.t
dictator,/dik.'ta:.to:r/,dik.'ta:.to:r
digamm,/di.'gam.ma/,di.'gam.m
discipul,/dis.'ki.pu.lus/,dis.'ki.pu.l
Doeg,/'do.eg/,'do.eg
domnic,/dom.'ni.kus/,dom.'ni.k
draco,/'dra.ko:/,'dra.ko:
dupl,/'du.plus/,'du.pl
duumuir,/'du.um.wir/,'du.um.wir
elephant,/e.le.'fan.tem/,'e.le.fan.t
embolism,/em.bo.'lis.mus/,em.bo.'lis.m
epact,/e.'pak.te:/,e.'pak.t
Ephratae,/e.'fra.te:.us/,e.'fra.te:
epistul,/e.'pis.tu.la/,e.'pis.tu.l
epscop,/'eps.ko.pus/,'eps.ko.p
Esau,/'e.saw/,'e.saw
escop,/es.'ko.pus/,es.'ko.p
except,/ek.'skep.tus/,e.'skep.t
excommunicatio,/eks.kom.mu:.ni.'ka:.ti.o:/,es.kom.mu:.ni.'ka:.ti.o:
exhibern,/eks.hi.'ber.num,es.hi.'ber.n
fab,/'fa.ba/,'fa.b
fatal,/fa.'ta:.le/,fa.'ta:.l
febrari,/fe.'bra:.ri.us/,fe.'bra:.ri
feminin,/fe:.mi.'ni:.num/,fe:.mi.'ni:.n
fenestr,/fe.'nes.tra/,fe.'nes.tr
fercul,/'fer.ku.lum/,'fer.ku.l
feri,/'fe:.ri.a/,'fe:.ri
ferial,/fe:.ri.'a:.lis/,fe:.ri.'a:.l
fibul,/'fi:.bu.la/,'fi:.bu.l
ficul,/'fi:.ku.la/,'fi:.ku.l
figur,/'fi:.gu:.ra/,'fi:.gu:.r
