Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
kwiŋ.kwa:.'ge:s.m,/ˈkʲiŋ.kʲə.ɣʲəs/,*quinquāgēsma,quinquagesm,cingciges,/kwiŋ.kwa:.'ge:s.ma/
'kwi.ri.k,/ˈkʲi.rʲək/,Quiricus,Quiric,Ciric,/'kwi.ri.kus/
'rab.sa.ke:n,/ˈrav.sə.kʲe:n/,Rabsacēn,Rabsacen,Rabsacen,/'rab.sa.ke:n/
ˈra:.m,/ˈra:ɱʲ/,rāmus,ram,ráim,/ˈra:.mus/
're:.a.t,/ˈrʲe:.du/,*rēatus,reat,rétu,/'re:.a.tus/
're:.gu.l,/ˈrʲiə.ɣəl/,rēgula,regul,riagol,/'re:.gu.la/
re.'li.kwi.,/ˈre.lʲəgʲ/,reliquiae,reliqui,reilic,/re.'li.kwi.e:/
re.'to.ri.k,/ˈrʲe.do.rʲəgʲ/,*rhetoricē,rhetorice,retoiric,/re.'to.ri.ke:/
'ro:.m,/ˈro:ɱ/,Rōma,rom,Rúam,/'ro:.ma/
ro:.'ma:.n,/ˈro:.ɱa:n/,rōmānus,roman,rómán,/ro:.'ma:.nus/
'ro:.mu.l,/ˈro.ɱulʲ/,Rōmulus,romul,romuil,/'ro:.mu.lus/
'ro:.s,/ˈro:s/,*rōsa,ros,rós,/'ro:.sa/
'rub.r,/ˈro.vur/,rubrum,rubr,robur,/'rub.rum/
'rus.k,/ˈru:sk/,ruscum,rusc,rúsc,/'rus.kum/
'sab.ba.t,/ˈsa.bədʲ/,sabbatum,sabbat,sabbait,/'sab.ba.tum/
sa.'bi:.n,/ˈsa.vʲən.de/,Sabīnī,sabin,sabin\dae,/sa.'bi:.ni:/
sa.'kel.l,/ˈsa.xəL/,Sacellus,Sacell,Sachall,/sa.'kel.lus/
sa.'ker.d,/ˈsa.gərt/,sacerdōs,sacerdo,sacart,/sa.'ker.do:s/
sa.'ker.do.tal,/ˈsa.gər.də.tə.ləxt/,sacerdotal,sacerdotal,sacerdotal\acht,/sa.'ker.do.tal/
sa.kər.'fi.ki.,/ˈsa.kər.vəkʲ/,*sacrficium,sacrfici,sacarbaicc,/sa.kər.'fi.ki.um/
ˈsaj.ku.l,/ˈsaj.ɣul/,saeculum,saecul,sáegul,/ˈsaj.ku.lum/
sa.'gel.l,/ˈsa.xəLʲ/,sagellum,sagell,sachaill [?],/sa.'gel.lum/
sa.'git.t,/ˈsa.ɣʲəd/,sagitta,sagitt,saiget,/sa.'git.ta/
sa.'li:.w,/ˈsa.lʲe/,salīua,saliu,saile,/sa.'li:.wa/
'sal.t,/ˈsalt/,saltus,salt,salt,/'sal.tus/
'sam.so:n,/ˈsaɱ.so:n/,Samsōn,Samson,Samsón,/'sam.so:n/
saŋk.ˈta:.ri.,/ˈsaŋk.ta:rʲ/,*sanctārium,sanctari,sanctáir,/saŋk.ˈta:.ri.um/
'sap.fir,/ˈsa.fʲər/,sapphir,sapphir,saphir,/'sap.fir/
'sa.ra,/ˈsa.rə/,Sara,Sara,Sara,/'sa.ra/
ˈsa.ta.e:l,/ˈsa.θʲəl/,Satahēl,Satahel,Sathel,/ˈsa.ta.e:l/
ˈsa.tan,/sa.tən/,Satan,Satan,satan,/ˈsa.tan/
sa.'tur.n,/ˈsa.θərn/,*Saturnus,Saturn,satharn,/sa.'tur.nus/
sa.ˈtur.n,/ˈsa.durn/,Saturnus,Saturn,Saturn,/sa.ˈtur.nus/
ˈsa.u:l,/sawl/,Saūl,Saul,Saul,/ˈsa.u:l/
'ski:.pi.o:,/ˈʃkʲip/,Scīpiō,scipio,Scip,/'ski:.pi.o:/
'sko:.p,/ˈskuəb/,scōpa,scop,scúap,/'sko:.pa/
sko:.'pa:.ri.,/ˈʃkʲi.bəl/,scōpārium,scopari,scioból,/sko:.'pa:.ri.um/
'skri:.b,/ˈʃkʲrʲi:.vəðʲ/,scrībō,scrib,scríb\aid,/'skri:.bo:/
skri:.'ben.d,/ˈʃkʲrʲi:.vʲənd/,scrībendum,scribend,scríbend,/skri:.'ben.dum/
'skri.pl,/ˈʃkʲrʲe.bul/,*scriplus,scripl,screpul,/'skri.plus/
ˈskrip.tr,/ˈʃkʲrʲeb.tər/,*scriptra,scriptr,screptar,/ˈskrip.tra/
skri:p.'tu:.r,/ˈʃkʲrʲib.turʲ/,scrīptūra,scriptur,scriptuir,/skri:p.'tu:.ra/
'skru:.pu.l,/ˈskru.vəl/,scrūpulus,scrupul,scrubl,/'skru:.pu.lus/
'skru:.t,/ˈskru:.dəðʲ/,scrūtor,scrut,scrút\aid,/'skru:.tor/
skru:.'ti.ni.,/ˈskru:.dən/,scrūtinium,scrutini,scrútan,/skru:.'ti.nium/
se.'ka:.le,/ˈʃe.gəl/,secāle,secale,secal,/se.'ka:.le/
se.ˈkun.dˈab.ba:,/ˈʃek.nəb/,secundus abbās,secund abba,secndap,/se.ˈkun.dusˈab.ba:s/
se.'kun.di.,/ˈʃek.ne/,Secundius,secundi,Secnde,/se.'kun.di.us/
se.kun.'di:.n,/ˈʃex.nəL/,Secundīnus,Secundin,Sechnall,/se.kun.'di:.nus/
se:.kre:.t,/ˈʃe.gʲrʲe:dʲ/,sēkrētus,sekret,seicréit,/se:.kre:.tus/
'se.me.i:,/ˈʃe.ɱʲe.i/,Semeī,Semei,Semei,/'se.me.i:/
'se.na.tor,/ˈʃe.nə.do:rʲ/,senator,senator,senatóir,/'se.na.tor/
'se:n.s,/ˈʃe:ʃ/,sēnsus,sens,séis,/'se:n.sus/
ˈse:n.s,/ˈʃiəns/,sēnsus,sens,síans,/ˈsen.sus/
sep.tem,/ˈʃep.tʲi.e:n/,septem,septem,Septién,/sep.tem/
sep.ti.'ma:.n,/ˈʃext.ɱən/,septimāna,septiman,sechtmon,/sep.ti.'ma:.na/
'se.ra.fi:n,/ˈʃe.ru.pʲi:n/,seraphīn,seraphin,Serupín,/'se.ra.fi:n/
'ser.gi.,/ˈʃe.rʲə.ga:n/,Sergius,Sergi,Sericán,/'ser.gi.us/
'ses.t,/ˈʃest/,*sesta,sest,sest,/'ses.ta/
ses.'ta:.ri.,/ˈʃe.srə/,*sestārius,sestari,sesra,/ses.'ta:.ri.us/
'se:t,/ˈʃe:θ/,Sēth,Seth,Séth,/'se:t/
si.'ki.li.,/ˈʃi.kʲəl.de/,Sicilia,sicili,Sicel\de,/si.'ki.li.a/
si.'gil.l,/ˈʃi.ɣʲlʲə.θʲe/,sigilla,sigill,sigl\ithe,/si.'gil.la/
ˈsiŋ.n,/ˈʃe:n/,signum,sign,sén 1,/ˈsiŋ.num/
ˈsi.mo:n,/ˈʃi.ɱo:n/,Simōn,Simon,Simón,/ˈsi.mo:n/
'si.on,/ˈʃi.o:n/,Sion,Sion,Sïón,/'si.on/
ˈsi:.tu.l,/ˈʃi:.θəl/,*sītula,situl,síthal,/ˈsi:.tu.la/
'so:.kra.t,/ˈso.gra:dʲ/,Sōcratēs,socrat,Socráit,/'so:.kra.te:s/
'so.do.m,/ˈso.ðəɱ/,Sodoma,Sodom,Sodaim,/'so.do.ma/
ˈso.l,/ˈsol/,solum,sol,sol,/ˈso.lum/
sol.ˈlem.ne,/ˈso.Lu.mun/,sollemne,sollemne,sollummun,/sol.ˈlem.ne/
'so.lo.mo:n,/ˈso.ləɱ/,Solomōn,Solomon,Solam 2,/'so.lo.mo:n/
'so.n,/ˈson/,sonus,son,son 1,/'so.nus/
so:s.te.ne:s,/sus.tə.nʲəs/,Sōsthenēs,Sosthenes,Susthenes,/so:s.te.ne:s/
'spe:.ku.l,/ˈʃpʲe:.glə/,*spēcula,specul,spécla,/'spe:.ku.la/
spi.'ra.ku.l,/ˈʃpʲi.rə.gul/,spiraculum,spiracul,spiracul,/spi.'ra.ku.lum/
spir.'ta:.l,/ˈʃpʲir.ta:l.de/,*spirtālis,spirtal,spirtál\de,/spir.'ta:.lis/
'spir.tu,/ˈʃpʲiwrt/,*spirtus,spirtu,spiurt,/'spir.tus/
'staŋ.n,/ˈsta:n/,stagnum,stagn,stán,/'staŋ.num/
'ste.pa.n,/ˈʃtʲe.fa:n/,Stephānus,Stephan,Stephán,/'ste.pa.nus/
ˈsto.ri.,/ˈstorʲ/,*storia,stori,stoir,/ˈsto.ri.a/
stra:.t,/ˈsra:dʲ/,strāta,strat,sráit,/stra:.ta/
stra.'tu:.r,/ˈsra.θər/,*stratūra,stratur,srathar,/stra.'tu:.ra/
'stup.p,/ˈsop/,stuppa,stupp,sopp,/'stup.pa/
'su:.a.wis,/ˈsuə.vəʃ/,*sūauis,suauis,súabais,/'su:.a.wis/
'su:.k,/ˈsu:ɣ/,*sūcus,suc,súg,/'su:.kus/
su.per.la:.'ti:.w,/ˈsu.ber.lədʲ/,superlātīuus,superlatiu,superlait,/su.per.la:.'ti:.wus/
'sil.la.b,/ˈʃi.Ləv/,syllaba,syllab,sillab,/'sil.la.ba/
'sim.ma.k,/ˈʃi.məx/,Symmachus,symmach,Simmach,/'sim.ma.kus/
'si.no.d,/ˈʃe.nəð/,synodus,synod,senad 1,/'si.no.dus/
'si.r,/ˈʃer/,Syrus,syr,ser,/'si.rus/
ta.bel.l,/ˈta.vəL/,tabella,tabell,taball,/ta.bel.la/
ta.bel.'la:.ri.,/ˈta.vlə.rʲe/,tabellārius,tabellari,tablaire,/ta.bel.'la:.ri.us/
'ta:.bu.l,/ˈta:.vəL/,*tābula,tabul,táball,/'ta:.bu.la/
ta.ˈlen.t,/ˈta.Lənd/,talentum,talent,talland,/ta.ˈlen.tum/
tar.'se:n.s,/ˈtar.sən.de/,tarsēnsis,tarsens,tarsen\dae,/tar.'se:n.sis/
'te.la.mo:n,/ˈtʲe.lə.ɱo:n.de/,Telamōn,Telamon,telamón\de,/'te.la.mo:n/
ˈtem.pl,/ˈtʲem.pul/,templum,templ,tempul,/ˈtem.plum/
ˈter.ti.,/ˈtʲert/,tertia,terti,tert,/ˈter.ti.a/
'tes.t,/ˈtʲeʃtʲ/,testis,test,teist,/'tes.tis/
tes.ti.'mo:.ni.,/ˈtʲe.ʃtʲə.ɱʲənʲ/,testimōnium,testimoni,teistimin,/tes.ti.'mo:.ni.um/
'ta.bor,/ˈta.vo:r/,Thabor,Thabor,Tabór,/'ta.bor/
'te:.k,/ˈtʲiəɣ/,thēca,thec,tíag,/'te:.ka/
te.'o.ri.,/ˈtʲe.orʲ/',theoria,theori,teöir,/te.'o.ri.a/
ˈte:.s,/ˈtʲe:ʃ/,*thēsis,thes,téis,/ˈte:.sis/
'to.ma:s,/ˈto.ɱa:s/,Thomās,thomas,Tomás,/'to.ma:s/
ˈtu:s,/ˈtu:s/,thūs,thus,tús,/ˈtu:s/
'ti:.m,/ˈtʲi:ɱ/,*thȳmum,thym,tím,/'ti:.mum/
ti:.ˈbur.t,/ˈtʲi.vur.tə.ðʲe/,Tīburtus,Tiburt,tiburt\ide,/ti:.ˈbur.tus/
ti.'mo.te.,/ˈtʲiəɱ.θe/,Timotheus,Timothe,Tíamthe,/ti.'mo.te.us/
'ti.t,/ˈtʲid/,Titus,tit,Tit,/'ti.tus/
'ti.tu.l,/ˈtʲi.dul/,titulus,titul,titul,/'ti.tu.lus/
'to.n,/ˈto:nʲ/,*tōnus,ton,tóin,/'to.nus/
to:.t,/ˈtod/,tōtus,tot,tot,/to:.tus/
'trak.t,/ˈtra:x.təðʲ/,tractō,tract,trácht\aid,/'trak.to:/
ˈtra:ns.tr,/ˈtrost/,trānstrum,transtr,trost,/tra:ns.trum/
'tri.b,/ˈtʲrʲiwv/,tribus,trib,triub,/'tri.bus/
tri.'bla:.ti.o:,/ˈtʲrʲe.vlədʲ/,*triblātiō,triblatio,treblait,/tri.'bla:.ti.o:/
tri.'bu:.n,/ˈtʲrʲe.vəN/,tribūnus,tribun,trebann,/tri.'bu:.nus/
tri.'da:.n,/ˈtʲrʲe.ðən/,*tridāna,tridan,tredan,/tri.'da:.na/
tri:.n.'da:t,/ˈtʲrʲi:n.do:dʲ/,trīndātem,trindatem,tríndóit,/tri:.n.'da:tem/
'tro:.j,/ˈtroʲ/,Trōia,Troia,Troí,/'tro:.ja/
tro:.ˈja:.n,/ˈtroj.an.de/,trōiānus,troian,troían\dae,/tro:.ˈja:.nus/
'tro.p,/ˈtrob/,tropus,trop,trop,/'tro.pus/
'tu.b,/ˈtov/,tuba,tub,tob,/'tu.ba/
ˈtu.ni.k,/ˈtu.nʲəx/,tunica,tunic,tuinech,/ˈtu.ni.ka/
'tim.pa.n,/ˈtʲim.pa:n/,tympanum,tympan,timpán,/'tim.pa.num/
tir.'re:.n,/ˈte.Rʲe:nʲ,Tyrrhēnus,Tyrrhen,Terriéin,/tir.'re:.nus/
'wa.gi:.n,/ˈfa.ɣʲən/,*uagīna,uagin,faigen,/'wa.gi:.na/
wa.'len.ti.,/ˈfa:lʲ.tʲe/,ualentia,ualent,fáilte,/wa.'len.ti.a/
'we.gli.,/ˈfʲe:lʲ/,*ueglia,uegli,féil,/'we.gli.a/
'we:.l,/ˈfʲiəl/,uēlum,uel,fíal 2,/'we:.lum/
we:.ro:.ˈne:n.s,/ˈfʲe.rə.nʲən.ste/,uērōnēnsis,ueronens,ueronens\tae,/we:.ro:.ˈne:n.sis/
'wer.su,/ˈfʲers/,uersus,uersu,fers,/'wer.sus/
wes.pa.si.ˈa:.n,/ˈfʲe.spə.ʃiən/,Uespasiānus,uespasian,Uespisían,/wes.pa.si.ˈa:.nus/
'wes.per,/ˈfʲe.skər/,uesper,uesper,fescor,/'wes.per/
ˈwe.te.rˈle.g,/ˈfʲe.dər.ləgʲ/,(in) uetere lege,ueter leg,fetarlaic,/ˈwe.te.reˈle.ge/
'wi:.k,/ˈfʲi:x/,uīcus,uic,fích,/'wi:.kus/
wi.'gi.l,/ˈfʲi.ɣʲəL/,uigilia,uigili,figell,/wi.'gi.li.a/
'wi:.n,/ˈfʲi:n/,uīnum,uin,fín 1,/'wi:.num/
'wir.tu,/ˈfʲiwrt/,uirtūs,uirtu,fiurt,/'wir.tus/
'wi:.si.o:,/ˈfʲi:ʃ/,uīsiō,uisio,fís,/'wi:.si.o:/
'wi:.si.o:,/ˈfʲi:.ʃiw/,uīsiō,uisio,físíu,/'wi:.si.o:/
'wi:.tu.l,/ˈfʲi:.θəl/,*uītulus,uitul,fíthal,/'wi:.tu.lus/
ˈul.ti.m,/ˈulʲtʲ/,ultima,ultim,uilt,/ˈul.ti.ma/
u.ˈna:.ri.,/ˈu.na:rʲ/,*unārius,unari,unáir,/u.ˈna:.ri.us/
ˈuŋ.ki,/ˈuŋ.ge/,uncia,unci,ungae,/ˈuŋ.ki.a/
'uŋ.g,/ˈoŋ.gəðʲ/,ungō,ung,ong\aid,/'uŋ.go:/
wul.ˈka:.n,/ˈul.ka:n/,Uulcānus,uulcan,ulcán,/wul.ˈka:.nus/
wes.per.'ti:.n,/ˈe.spər.tə/,(hōra) vespertīna,uespertin,esparta,/wes.per.'ti:.na/
zo.'ro.ba.bel,/ˈsor.və.vʲəl/,Zorobabel,Zorobabel,Sorbabel,/zo.'ro.ba.bel/
le:.wi,/lʲew.i/,Lēvi,levi,Leui,/le:.wi/
ˈski.pu.l,/ˈeʃ.bʲə.kul/,scyphulus,scyphul,esbicul,/ˈski.pu.lus/
ˈke:.p,/'kʲe:b/,cēpa,cēp,cép,/ˈke:.pa/
