Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
bis.'sek.st,/ˈbʲi.ʃəxs/,bissextus,bissext,bissex,/bis.'sek.stus/
'bras.si.k,/ˈbra.ʃəx/,brassica,brassic,braisech,/'bras.si.ka/
brit.'to:.n,/ˈbʲrʲe.tənʲ/,brittōnēs,britton,Bretain,/brit.'to:.ne:s/
'broŋ.ki.,/ˈbroŋ.gə.ðʲe/,bronchia,bronchi,brongai\de,/'broŋ.ki.a/
bur.di.'ga.li.,/ˈbord.ɣəl/,Burdigalia,Burdigali,Bordgal,/bur.di.'ga.li.a/
'bur.g,/ˈborg/,burgus,burg,borg,/'bur.gus/
ka.'du:.k,/ˈkað.xəx/,cadūcus,caduc,cadch\ach,/ka.'du:.kus/
ka.'ja:.fa:s,/ˈka.i.fəs/,Caiāphās,Caiaphas,Caïphas,/ka.'ja:.fa:s/
ka.'li:.go:,/ˈka.lʲəx/,calicem,calic,cailech,/ka.'li:.go:/
'ka.li.k,/ˈka.lʲəx/,*calīgō,caligo,cailech 3,/'ka.li.kem/
ka.mel.l,/ˈka.ɱəL/,camellus,camell,camall,/ka.mel.lus/
ka.'mi.si.,/ˈkamʲ.ʃʲe/,camisia,camisi,caimmse,/ka.'mi.si.a/
ka.n,/ˈka.nə/,Cana,cana,Cana,/ka.na/
kaŋ.'kel.l,/ˈkaŋʲ.gʲəl/,cancella,cancell,caingel,/kaŋ.'kel.la/
kan.'de:.l,/ˈkanʲ.dʲəl/,candēla,candel,caindel,/kan.'de:.la/
'kan.di.d,/ˈkan.də.ðəs/,candidus,candid,candadas,/'kan.di.dus/
'kan.na.b,/ˈkna:vʲ/,cannabis,cannab,cnáib,/'kan.na.bis/
'kan.nu.l,/ˈko.NəL/,cannula,cannul,connall,/'kan.nu.la/
'ka.no:n,/ˈka.no:nʲ/,canōn,canon,canóin,/'ka.no:n/
ka.pil.'la:.ti.o:,/ˈka.blədʲ/,capillātiō,capillatio,caplait,/ka.pil.'la:.ti.o:/
