Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
colt,/'kolt/,pulta,pult,/'pul.ta/,,,,,,,
coltar,/'kol.tər/,cultrum,cultr,/'kul.trum/,,,,,,,
colum,/'ko.luɱ/,columba,columb,/ko.'lum.ba/,,,,,,,
comman,/'ko.mən/,commūniō,communio,/kom.'mu:.ni.o:/,,,,,,,
comparait,/'kom.pə.rədʲ/,comparātīuus,comparatiu,/kom.pa.ra:.'ti:.wus/,,,,,,,
comrar,/'ko.ɱrər/,cumera,cumer,/'ku.me.ra/,,,,,,,
con·secra,/kon.'ʃe.kra/,cōnsecrō,consecr,/ko:n.se.kro:/,,,,,,,
connall,/'ko.NəL/,cannula,cannul,/'kan.nu.la/,,,,,,,
consal,/'kon.səl/,cōnsul,consul,/'ko:n.sul/,,,,,,,
consan,/'kon.sən/,cōnsonus,conson,/'ko:n.so.nus/,,,,,,,
Constantinopol,/'kon.stənʲ.tʲə.nə.bəl/,Cōnstantīnopolis,constantinopolis,/ko:ns.tan.ti:.'no.po.lis/,,,,,,,
contan,/'kon.tən/,contentiō,contentio,/kon.'ten.ti.o:/,,,,,,,
contracht,/'kon.trəxt/,contractus,contract,/kon.'trak.tus/,,,,,,,
corcur,/'kor.kur/,purpura,purpur,/'pur.pu.ra/,,,,,,,
Core,/'ko.re/,?,,,,,
corgus,/'kor.ɣas/,*quarāgēsma,quaragesma,/kwa.ra:.'ge:s.ma/,,,,,,,
Corint,/'ko.rʲənt/,Corinthus,corinth,/ko.'rin.tus/,,,,,,,
Cornil,/'kor.nəlʲ/,Cornēlius,Cornelius,/kor.'ne:.li.us/,,,,,,,
coronn,/'ko.rəN/,corōna,/ko.'ro:.na/,,,,
corp,/'korp/,corpus,corpus,/'kor.pus/,,,,,,,
cosmaid ,/'kos.ɱəðʲ/,cōnsummātiō,consummatio,/ko:n.sum.'ma:.ti.o:/,,,,,,,
Cothrige,/'ko.θrə.ɣʲe/,Patricius,patrici,/pa.'tri.ki.us/,,,,,,,
crapscuil,/'krab.skulʲ/,crepusculum,crepuscul,/kre.'pus.ku.lum/,,,,,,,
créisen,/'kʲrʲe:.ʃən/,christiānus,christian,/kris.ti.'a:.nus/,,,,,,,
creithir,/'kʲrʲe.θʲərʲ/,*creterra,creterr,/kre.'ter.ra/,,,,,,,
Críst,/'kʲrist/,Christus,christ,/'kris.tus/,,,,,,,
croch,/'krox/,crux,crux,/'kruks/,,,,,,,
cróch,/'kro:x/,*crōcus,croc,/'kro:.kus/,,,,,,,
cros,/'kros/,crux,crux,/'kruks/,,,,,,,
