Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
secht,/'ʃext/,fictus,/'fik.tus/,,,,
sechtmon,/'ʃext.ɱən/,septimāna,septiman,/sep.ti.'ma:.na/,,,,,,,
secndap,/'ʃek.nəb/,secundus abbās,secund abbas,/se.'kun.dus/+/'ab.ba:s/,,,,,,,
Secnde,/'ʃek.ne/,Secundius,secundi,/se.'kun.di.us/,,,,,,,
seib,/'ʃevʲ/,faba,fab,/'fa.ba/,,,,,,,
seicréit,/'ʃe.gʲrʲe:dʲ/,sēkrētus,sekretus,/se:.kre:.tus/,,,,,,,
seinester,/'ʃe.nʲə.ʃtʲər/,fenestra,fenestr,/fe.'nes.tra/,,,,,,,
séire,/'ʃe:.rʲe/,fēria,feri,/'fe:.ri.a/,,,,,,,
séis,/'ʃe:ʃ/,sēnsus,sens,/'se:n.sus/,,,,,,,
Semei,/'ʃe.ɱʲe.i/,Semeī,Semei,/'se.me.i:/,,,,,,,
sén 1,/'ʃe:n/,signum,/'siŋ.num/,,,,
senad 1,/'ʃe.nəð/,synodus,sinod,/'si.no.dus/,,,,,,,
senatóir,/'ʃe.nə.do:rʲ/,senator,senator,/'se.na.tor/,,,,,,,
Septién,/'ʃep.tʲi.e:n/,septem,septem,/sep.tem/,,,,,,,
ser,/'ʃer/,Syrus,sir,/'si.rus/,,,,,,,
sercol,/'ʃer.kəl/,ferculum,fercul,/'fer.ku.lum/,,,,,,,
Sericán,/'ʃe.rʲə.ga:n/,Sergius,Sergius,/'ser.gi.us/,,,,,,,
Serupín,/'ʃe.ru.pʲi:n/,seraphīn,seraphin,/'se.ra.fi:n/,,,,,,,
sesra,/'ʃe.srə/,*sestārius,sestarius,/ses.'ta:.ri.us/,,,,,,,
sest,/'ʃest/,*sesta,sesta,/'ses.ta/,,,,,,,
Séth,/'ʃe:θ/,Sēth,Seth,/'se:t/,,,,,,,
síans,/'ʃiəns/,sēnsus,/'sen.sus/,,,,
síbal,/'ʃi:.vəl/,fībula,fibul,/'fi:.bu.la/,,,,,,,
Sicel\de,/'ʃi.kʲəl.de/,Sicilia,sicili,/si.'ki.li.a/,,,,,,,
sigl\ithe,/'ʃi.ɣʲlʲə.θʲe/,sigilla,sigill,/si.'gil.la/,,,,,,,
sillab,/'ʃi.Ləv/,syllaba,sillab,/'sil.la.ba/,,,,,,,
Simmach,/'ʃi.məx/,Symmachus,Simmachus,/'sim.ma.kus/,,,,,,,
Simón,/'ʃi.ɱo:n/,Simōn,/'si.mo:n/,,,,
Sïón,/'ʃi.o:n/,Sion,Sion,/'si.on/,,,,,,,
síthal,/'ʃi:.θəl/,*sītula,/'si:.tu.la/,,,,
slécht\aid,/'ʃlʲe:x.təðʲ/,flēctō,flect,/fle:k.to:/,,,,,,,
slóch,/'slo:x/,*flōcus,flocc,/'flo:.kus/,,,,,,,
Socráit,/'so.gra:dʲ/,Sōcratēs,socrates,/'so:.kra.te:s/,,,,,,,
Sodaim,/'so.ðəɱ/,Sodoma,Sodoma,/'so.do.ma/,,,,,,,
sol,/'sol/,solum,/'so.lum/,,,,
Solam 2,/'so.ləɱ/,Solomōn,Solomon,/'so.lo.mo:n/,,,,,,,
sollummun,/'so.Lu.mun/,sollemne,/sol.'lem.ne/,,,,
son 1,/'son/,sonus,son,/'so.nus/,,,,,,,
sopp,/'sop/,stuppa,stupp,/'stup.pa/,,,,,,,
Sorbabel,/'sor.və.vʲəl/,Zorobabel,Zorobabel,/zo.'ro.ba.bel/,,,,,,,
sorn,/'sorn/,furnus,/'fur.nus/,,,,
spécla,/'ʃpʲe:.glə/,*spēcula,specul,/'spe:.ku.la/,,,,,,,
spiracul,/'ʃpʲi.rə.gul/,spiraculum,spiracul,/spi.'ra.ku.lum/,,,,,,,
spirtál\de,/'ʃpʲir.ta:l.de/,*spirtālis,spirtalis,/spir.t'a:.lis/,,,,,,,
spiurt,/'ʃpʲiwrt/,*spirtus,spirtus,/'spir.tus/,,,,,,,
sráit,/'sra:dʲ/,strāta,strat,/stra:.ta/,,,,,,,
srathar,/'sra.θər/,*stratūra,strat,/stra.'tu:.ra/,,,,,,,
srían,/'ʃrʲiən/,frēnum,fren,/'fre:.num/,,,,,,,
sroigel,/'sro.ɣʲəl/,*fragillum,fragillum,/fra.'gil.lum/,,,,,,,
stán,/'sta:n/,stagnum,stagn,/'staŋ.num/,,,,,,,
Stephán,/'ʃtʲe.fa:n/,Stephānus,Stephanus,/'ste.pa.nus/,,,,,,,
stoir,/'storʲ/,*storia,/'sto.ri.a/,,,,
stoir\ier,/'sto.rʲər/,?,,,,,
súabais,/'suə.vəʃ/,*sūavis,suav,/'su:.a.wis/,,,,,,,
súg,/'su:ɣ/,*sūcus,suc,/'su:.kus/,,,,,,,
superlait,/'su.ber.lədʲ/,superlātīuus,superlatiuus,/su.per.la:.'ti:.wus/,,,,,,,
súst,/'su:st/,fūstis,fustis,/'fu:s.tis/,,,,,,,
Susthenes,/sus.tə.nʲəs/,Sōsthenēs,Sosthenes,/so:s.te.ne:s/,,,,,,,
taball,/'ta.vəL/,tabella,/ta.bel.la/,,,,
táball,/'ta:.vəL/,*tābula,tabul,/'ta:.bu.la/,,,,,,,
tablaire,/'ta.vlə.rʲe/,tabellārius,tabellari,/ta.bel.'la:.ri.us/,,,,,,,
Tabór,/'ta.vo:r/,Thabor,Thabor,/'ta.bor/,,,,,,,
talland,/'ta.Lənd/,talentum,/ta.'len.tum/,,,,
tarsen\dae,/'tar.sən.de/,tarsēnsis,tarsensis,/tar.'se:n.sis/,,,,,,,
téis,/'tʲe:ʃ/,*thēsis,/'te:sis/,,,,
teist,/'tʲeʃtʲ/,testis,test,/'tes.tis/,,,,,,,
teistimin,/'tʲe.ʃtʲə.ɱʲənʲ/,testimōnium,testimoni,/tes.ti.'mo:.ni.um/,,,,,,,
telamón\de,/'tʲe.lə.ɱo:n.de/,Telamōn,Telamon,/'te.la.mo:n/,,,,,,,
tempul,/'tʲem.pul/,templum,/'tem.plum/,,,,
teöir,/'tʲe.orʲ/',theoria,theori,/te.'o.ri.a/,,,,,,,
Teothas [?],?,,,,,
Terriéin,/'te.Rʲe:nʲ,Tyrrhēnus,Tyrrhenus,/tir.'re:.nus/,,,,,,,
tert,/'tʲert/,tertia,/'ter.ti.a/,,,,
tíag,/'tʲiəɣ/,thēca,thec,/'te:.ka/,,,,,,,
Tíamthe,/'tʲiəɱ.θe/,Timotheus,Timotheus,/ti.'mo.te.us/,,,,,,,
tiburt\ide,/'tʲi.vur.tə.ðʲe/,Tīburtus,/ti:.'bur.tus/,,,,
tím,/'tʲi:ɱ/,*thȳmum,tymum,/'ti:.mum/,,,,,,,
timp\án,/'tʲim.pa:n/,tympanum,timpan,/'tim.pa.num/,,,,,,,
Tit ,/'tʲid/,Titus,tit,/'ti.tus/,,,,,,,
titul,/'tʲi.dul/,titulus,titul,/'ti.tu.lus/,,,,,,,
tob,/'tov/,tuba,tub,/'tu.ba/,,,,,,,
tóin,/'to:nʲ/,*tōnus,ton,/'to.nus/,,,,,,,
Tomás,/'to.ɱa:s/,Thomās,thomas,/'to.ma:s/,,,,,,,
tot,/'tod/,tōtus,tot,/to:.tus/,,,,,,,
trácht\aid,/'tra:x.təðʲ/,tractō,tract,/'trak.to:/,,,,,,,
treblait,/'tʲrʲe.vlədʲ/,*triblātiō,triblatio,/tri.'bla:.ti.o:/,,,,,,,
trebunn,/'tʲrʲe.vuN/,tribūnus,tribun,/tri.'bu:.nus/,,,,,,,
tredan,/'tʲrʲe.ðən/,*tridāna,tridana,/tri.'da:.na/,,,,,,,
tríndóit,/'tʲrʲi:n.do:dʲ/,trīnitās,trinitas,/'tri:.ni.ta:s/,,,,,,,
triub,/'tʲrʲiwv/,tribus,trib,/'tri.bus/,,,,,,,
Troí,/'troʲ/,Trōia,Troia,/'tro:.ja/,,,,,,,
troían\dae,/'troj.an.de/,trōiānus,/tro:.'ja:.nus/,,,,
trop,/'trob/,tropus,trop,/'tro.pus/,,,,,,,
trost,/'trost/,trānstrum,/tra:ns.trum/,,,,
túaiscert,/'tuə.ʃkʲərt/,*t-ou̯χsi-ku̯erto-,,,,,
tuinech,/'tu.nʲəx/,tunica,/'tu.ni.ka/,,,,
tús,/'tu:s/,thūs,/'tu:s/,,,,
ueronens\tae,/'fʲe.rə.nʲən.ste/,uērōnēnsis,/we:.ro:.'ne:n.sis/,,,,
Uespisían,/'fʲe.spə.ʃiən/,Uespasiānus,/wes.pa.si.'a:.nus/,,,,
uilt,/'ulʲtʲ/,ultima,/'ul.ti.ma/,,,,
ulcán,/'ul.ka:n/,Uulcānus,/wul.'ka:.nus/,,,,
umal,/'u.ɱəl/,humilis,/'hu.mi.lis/,,,,
umaldóit,/'u.ɱəl.do:dʲ/,humilitās,/hu.'mi.li.ta:s/,,,,
unáir,/'u.na:rʲ/,*unārius,/u.'na:.ri.us/,,,,
ungae,/'uŋ.ge/,uncia,/'uŋ.ki.a/,,,,
úsaile,/'u:.sə.lʲe/,auxilius,/awk.'si.li.us/,,,,
